id,quantity,price,name,datetime
412,2,0.5,Mint Sauce,2019-07-27 16:55:00
413,1,0.5,Mango Chutney,2019-07-27 16:55:00
414,1,0.5,Lime Pickle,2019-07-27 16:55:00
415,1,0.5,Mint Sauce,2019-07-26 20:42:00
416,1,0.5,Mango Chutney,2019-07-26 19:51:00
417,1,0.5,Mango Chutney,2019-07-26 19:42:00
418,1,0.5,Red Sauce,2019-07-26 19:42:00
419,1,0.5,Red Sauce,2019-07-26 19:42:00
420,1,0.5,Mango Chutney,2019-07-26 19:42:00
421,1,0.5,Mint Sauce,2019-07-26 19:42:00
422,1,0.5,Red Sauce,2019-07-26 19:33:00
423,1,0.5,Mango Chutney,2019-07-26 19:33:00
424,1,0.5,Mint Sauce,2019-07-26 19:33:00
425,1,0.5,Mint Sauce,2019-07-26 19:12:00
426,1,0.5,Red Sauce,2019-07-26 19:12:00
427,1,0.5,Mango Chutney,2019-07-26 18:32:00
428,1,0.5,Mango Chutney,2019-07-26 18:14:00
429,1,0.5,Lime Pickle,2019-07-26 18:14:00
430,1,0.5,Mango Chutney,2019-07-26 17:56:00
431,2,0.5,Mint Sauce,2019-07-26 17:46:00
432,1,0.5,Onion Chutney,2019-07-26 17:46:00
433,1,0.5,Red Sauce,2019-07-26 17:46:00
434,1,0.5,Lime Pickle,2019-07-26 17:46:00
435,1,0.5,Onion Chutney,2019-07-25 19:51:00
436,1,0.5,Red Sauce,2019-07-25 19:51:00
437,2,0.5,Mango Chutney,2019-07-25 19:50:00
438,1,0.5,Mint Sauce,2019-07-25 19:11:00
439,1,0.5,Mango Chutney,2019-07-25 19:11:00
440,1,0.5,Lime Pickle,2019-07-25 17:23:00
441,1,0.5,Mango Chutney,2019-07-24 23:08:00
442,1,0.5,Mint Sauce,2019-07-24 23:08:00
443,1,0.5,Onion Chutney,2019-07-24 23:08:00
444,1,0.5,Mint Sauce,2019-07-23 21:30:00
445,2,0.5,Mango Chutney,2019-07-23 19:54:00
446,1,0.5,Red Sauce,2019-07-23 19:26:00
447,1,0.5,Mint Sauce,2019-07-23 19:26:00
448,1,0.5,Onion Chutney,2019-07-22 20:14:00
449,1,0.5,Mint Sauce,2019-07-22 20:14:00
450,1,0.5,Red Sauce,2019-07-22 20:14:00
451,2,0.5,Mango Chutney,2019-07-21 18:55:00
452,1,0.5,Mint Sauce,2019-07-21 18:55:00
453,1,0.5,Mango Chutney,2019-07-21 18:47:00
454,1,0.5,Onion Chutney,2019-07-21 17:26:00
455,1,0.5,Lime Pickle,2019-07-21 14:36:00
456,1,0.5,Red Sauce,2019-07-20 21:17:00
457,1,0.5,Mango Chutney,2019-07-20 20:15:00
458,1,0.5,Mango Chutney,2019-07-20 19:47:00
459,1,0.5,Mint Sauce,2019-07-20 19:47:00
460,1,0.5,Mint Sauce,2019-07-20 19:04:00
461,1,0.5,Onion Chutney,2019-07-20 19:04:00
462,1,0.5,Mint Sauce,2019-07-20 19:04:00
463,1,0.5,Onion Chutney,2019-07-20 19:04:00
464,1,0.5,Mango Chutney,2019-07-20 18:58:00
